t,alt,ax,ay,az,gx,gy,gz,escPWM,rollDeg,pitchDeg
3001,-52.51,0.0042,0.0061,1.0073,-0.0027,0.0015,-0.0041,1000,0.00,0.00
3102,-52.32,-0.0017,-0.0046,1.0000,0.0007,0.0001,0.0011,1000,0.00,0.00
3201,-52.44,0.0039,0.0010,1.0000,0.0003,0.0000,-0.0013,1000,0.00,0.00
3299,-52.33,0.0034,-0.0005,1.0056,-0.0023,-0.0005,0.0024,1000,0.00,0.00
3397,-52.71,-0.0056,-0.0017,0.9983,0.0051,-0.0005,0.0000,1000,0.00,0.00
3495,-52.58,-0.0022,-0.0073,1.0027,0.0009,0.0044,0.0017,1000,0.00,0.00
3593,-52.63,0.0073,-0.0012,1.0051,0.0008,-0.0009,-0.0007,1000,0.00,0.00
3691,-52.81,0.0015,0.0012,1.0063,-0.0004,-0.0005,0.0007,1000,0.00,0.00
3789,-52.55,0.0020,0.0032,0.9949,-0.0017,0.0025,-0.0012,1000,0.00,0.00
3887,-52.61,0.0051,-0.0039,0.9985,-0.0013,-0.0007,0.0025,1000,0.00,0.00
3985,-52.91,0.0022,-0.0024,0.9993,0.0003,0.0004,-0.0019,1000,0.00,0.00
4083,-52.73,0.0076,-0.0024,1.0112,0.0000,0.0015,-0.0025,1000,0.00,0.00
4182,-52.52,0.0034,0.0076,0.9912,0.0032,0.0021,-0.0005,1000,0.00,0.00
4281,-52.74,-0.0022,0.0046,1.0007,0.0017,0.0032,0.0012,1000,0.00,0.00
4379,-52.40,-0.0024,0.0110,1.0044,-0.0001,0.0021,0.0027,1000,0.00,0.00
4477,-52.49,0.0039,0.0046,0.9968,0.0009,0.0019,-0.0001,1000,0.00,0.00
4575,-52.81,-0.0034,0.0012,0.9978,-0.0025,0.0012,-0.0013,1000,0.00,0.00
4673,-52.56,0.0037,0.0024,1.0032,0.0019,-0.0023,-0.0024,1000,0.00,0.00
4771,-52.86,-0.0015,0.0024,0.9973,-0.0012,0.0035,-0.0031,1000,0.00,0.00
4869,-52.72,0.0061,-0.0049,1.0037,0.0001,-0.0003,0.0012,1000,0.00,0.00
4967,-52.53,0.0000,0.0032,0.9946,-0.0001,-0.0031,-0.0005,1000,0.00,0.00
5065,-52.56,0.0242,-0.0034,1.0002,0.0027,0.0021,-0.0007,1000,0.00,0.00
5163,-52.50,-0.0371,0.0073,0.9956,0.0015,-0.0015,0.0003,1000,0.00,0.00
5262,-52.50,-0.0198,0.0056,1.0071,0.0065,-0.0060,-0.0055,1000,0.00,0.00
5361,-52.48,0.0195,-0.0315,0.9993,-0.0024,0.0044,-0.0075,1000,0.00,0.00
5459,-52.60,-0.0310,0.0220,0.9966,0.0033,0.0007,-0.0016,1000,0.00,0.00
5557,-52.60,0.0120,-0.0146,1.0017,-0.0001,0.0013,-0.0009,1000,0.00,0.00
5655,-52.61,-0.0090,0.0156,0.9993,-0.0029,0.0007,-0.0053,1000,0.00,0.00
5753,-52.58,0.0061,-0.0122,0.9983,0.0000,-0.0005,-0.0027,1000,0.00,0.00
5851,-52.48,0.0044,-0.0100,0.9834,-0.0029,0.0005,-0.0021,1000,0.00,0.00
5949,-52.47,0.0076,-0.0093,1.0051,0.0020,-0.0004,-0.0004,1000,0.00,0.00
6047,-52.50,0.0002,-0.0083,1.0039,-0.0004,0.0023,0.0031,1000,0.00,0.00
6145,-52.76,-0.0037,-0.0049,1.0005,0.0023,-0.0039,0.0011,1000,0.00,0.00
6243,-52.69,-0.0017,0.0049,0.9929,-0.0024,-0.0028,0.0049,1000,0.00,0.00
6342,-52.68,0.0037,-0.0078,1.0120,-0.0044,-0.0008,0.0027,1000,0.00,0.00
6441,-52.65,0.0032,0.0059,0.9998,-0.0008,0.0008,0.0011,1000,0.00,0.00
6539,-52.52,-0.0073,0.0100,1.0010,-0.0027,-0.0011,-0.0035,1000,0.00,0.00
6637,-52.64,-0.0024,0.0000,0.9946,-0.0012,-0.0001,0.0000,1000,0.00,0.00
6735,-52.65,-0.0044,0.0073,0.9963,-0.0003,-0.0017,0.0009,1000,0.00,0.00
6833,-52.66,-0.0017,0.0293,1.0110,-0.0001,-0.0067,-0.0048,1000,0.00,0.00
6931,-52.65,0.0544,-0.0430,1.0112,0.0016,-0.0039,-0.0072,1000,0.00,0.00
7029,-52.69,0.0098,0.0178,1.0054,0.0087,0.0089,0.0048,1000,0.00,0.00
7127,-52.61,-0.0088,0.0083,0.9998,-0.0013,0.0021,-0.0007,1000,0.00,0.00
7225,-52.54,-0.0112,-0.0591,1.0320,-0.0185,-0.0021,-0.0061,1000,0.00,0.00
12323,-52.37,-0.0088,-0.0449,0.9746,-0.0088,0.0003,-0.0053,1000,0.00,0.00
